indexNumber,indexName,genusNumber,genusName,X,Y,pointOrder
1,Buccinum_1_11_137_455,11,Buccinum,-0.030953709,-1.493307312,1
1,Buccinum_1_11_137_455,11,Buccinum,0.006523605,-1.45817067,2
1,Buccinum_1_11_137_455,11,Buccinum,0.058346571,-1.453773237,3
1,Buccinum_1_11_137_455,11,Buccinum,0.106526584,-1.45817067,4
1,Buccinum_1_11_137_455,11,Buccinum,0.159993334,-1.466536536,5
1,Buccinum_1_11_137_455,11,Buccinum,0.213460077,-1.474902402,6
1,Buccinum_1_11_137_455,11,Buccinum,0.270392078,-1.474902402,7
1,Buccinum_1_11_137_455,11,Buccinum,0.323858829,-1.466536536,8
1,Buccinum_1_11_137_455,11,Buccinum,0.373860314,-1.449804803,9
1,Buccinum_1_11_137_455,11,Buccinum,0.42039655,-1.424707198,10
1,Buccinum_1_11_137_455,11,Buccinum,0.466163309,-1.39775192,11
1,Buccinum_1_11_137_455,11,Buccinum,0.505405364,-1.366875731,12
1,Buccinum_1_11_137_455,11,Buccinum,0.533831249,-1.360378936,13
1,Buccinum_1_11_137_455,11,Buccinum,0.557356517,-1.331656317,14
1,Buccinum_1_11_137_455,11,Buccinum,0.600063822,-1.301123503,15
1,Buccinum_1_11_137_455,11,Buccinum,0.623589091,-1.290521342,16
1,Buccinum_1_11_137_455,11,Buccinum,0.637733548,-1.280232158,17
1,Buccinum_1_11_137_455,11,Buccinum,0.655343255,-1.242035446,18
1,Buccinum_1_11_137_455,11,Buccinum,0.695600263,-1.201778438,19
1,Buccinum_1_11_137_455,11,Buccinum,0.724182968,-1.156999444,20
1,Buccinum_1_11_137_455,11,Buccinum,0.760817891,-1.119829077,21
1,Buccinum_1_11_137_455,11,Buccinum,0.788901283,-1.074529599,22
1,Buccinum_1_11_137_455,11,Buccinum,0.817669653,-1.029513844,23
1,Buccinum_1_11_137_455,11,Buccinum,0.84609553,-0.984356227,24
1,Buccinum_1_11_137_455,11,Buccinum,0.864194093,-0.934920894,25
1,Buccinum_1_11_137_455,11,Buccinum,0.885200613,-0.88669008,26
1,Buccinum_1_11_137_455,11,Buccinum,0.901795367,-0.836631848,27
1,Buccinum_1_11_137_455,11,Buccinum,0.914389289,-0.784916422,28
1,Buccinum_1_11_137_455,11,Buccinum,0.931121029,-0.734914937,29
1,Buccinum_1_11_137_455,11,Buccinum,0.939486895,-0.681448186,30
1,Buccinum_1_11_137_455,11,Buccinum,0.945277806,-0.629048026,31
1,Buccinum_1_11_137_455,11,Buccinum,0.947852761,-0.57797995,32
1,Buccinum_1_11_137_455,11,Buccinum,0.939486895,-0.524513207,33
1,Buccinum_1_11_137_455,11,Buccinum,0.939486895,-0.467581206,34
1,Buccinum_1_11_137_455,11,Buccinum,0.931121029,-0.414114463,35
1,Buccinum_1_11_137_455,11,Buccinum,0.914389289,-0.36411297,36
1,Buccinum_1_11_137_455,11,Buccinum,0.903849921,-0.311546522,37
1,Buccinum_1_11_137_455,11,Buccinum,0.889291691,-0.260644734,38
1,Buccinum_1_11_137_455,11,Buccinum,0.870660407,-0.211430064,39
1,Buccinum_1_11_137_455,11,Buccinum,0.848150084,-0.163822143,40
1,Buccinum_1_11_137_455,11,Buccinum,0.830730621,-0.114105521,41
1,Buccinum_1_11_137_455,11,Buccinum,0.806594696,-0.072071558,42
1,Buccinum_1_11_137_455,11,Buccinum,0.778168819,-0.026913942,43
1,Buccinum_1_11_137_455,11,Buccinum,0.744842326,0.006412552,44
1,Buccinum_1_11_137_455,11,Buccinum,0.708050575,0.043204302,45
1,Buccinum_1_11_137_455,11,Buccinum,0.674724082,0.076530795,46
1,Buccinum_1_11_137_455,11,Buccinum,0.646298205,0.121688412,47
1,Buccinum_1_11_137_455,11,Buccinum,0.609506454,0.158480156,48
1,Buccinum_1_11_137_455,11,Buccinum,0.578630265,0.19772221,49
1,Buccinum_1_11_137_455,11,Buccinum,0.547278491,0.231048704,50
1,Buccinum_1_11_137_455,11,Buccinum,0.519328199,0.24865841,51
1,Buccinum_1_11_137_455,11,Buccinum,0.496095931,0.295967293,52
1,Buccinum_1_11_137_455,11,Buccinum,0.496095931,0.345968786,53
1,Buccinum_1_11_137_455,11,Buccinum,0.504461797,0.399435529,54
1,Buccinum_1_11_137_455,11,Buccinum,0.504461797,0.45636753,55
1,Buccinum_1_11_137_455,11,Buccinum,0.487730065,0.506369023,56
1,Buccinum_1_11_137_455,11,Buccinum,0.476885361,0.558809002,57
1,Buccinum_1_11_137_455,11,Buccinum,0.454266593,0.601471392,58
1,Buccinum_1_11_137_455,11,Buccinum,0.429168995,0.643107012,59
1,Buccinum_1_11_137_455,11,Buccinum,0.404453792,0.689801641,60
1,Buccinum_1_11_137_455,11,Buccinum,0.370112353,0.732508954,61
1,Buccinum_1_11_137_455,11,Buccinum,0.335770907,0.775216267,62
1,Buccinum_1_11_137_455,11,Buccinum,0.296528852,0.806092448,63
1,Buccinum_1_11_137_455,11,Buccinum,0.261851642,0.843760067,64
1,Buccinum_1_11_137_455,11,Buccinum,0.261851642,0.900692075,65
1,Buccinum_1_11_137_455,11,Buccinum,0.250209834,0.952801874,66
1,Buccinum_1_11_137_455,11,Buccinum,0.24511991,1.007625561,67
1,Buccinum_1_11_137_455,11,Buccinum,0.228388178,1.057627054,68
1,Buccinum_1_11_137_455,11,Buccinum,0.194509997,1.100526253,69
1,Buccinum_1_11_137_455,11,Buccinum,0.161183504,1.133852746,70
1,Buccinum_1_11_137_455,11,Buccinum,0.132757627,1.179010363,71
1,Buccinum_1_11_137_455,11,Buccinum,0.111266037,1.222139647,72
1,Buccinum_1_11_137_455,11,Buccinum,0.084228391,1.265755711,73
1,Buccinum_1_11_137_455,11,Buccinum,0.051960184,1.301637136,74
1,Buccinum_1_11_137_455,11,Buccinum,0.027607361,1.348481871,75
1,Buccinum_1_11_137_455,11,Buccinum,0.001023984,1.394402674,76
1,Buccinum_1_11_137_455,11,Buccinum,-0.030953709,1.433188467,77
1,Buccinum_1_11_137_455,11,Buccinum,-0.060728393,1.472886784,78
1,Buccinum_1_11_137_455,11,Buccinum,-0.10152912,1.5,79
1,Buccinum_1_11_137_455,11,Buccinum,-0.152478978,1.485557828,80
1,Buccinum_1_11_137_455,11,Buccinum,-0.183355167,1.446315773,81
1,Buccinum_1_11_137_455,11,Buccinum,-0.211656438,1.406007158,82
1,Buccinum_1_11_137_455,11,Buccinum,-0.245107537,1.367831671,83
1,Buccinum_1_11_137_455,11,Buccinum,-0.273533422,1.322674054,84
1,Buccinum_1_11_137_455,11,Buccinum,-0.295315114,1.274764326,85
1,Buccinum_1_11_137_455,11,Buccinum,-0.333822866,1.240658113,86
1,Buccinum_1_11_137_455,11,Buccinum,-0.370607917,1.206789453,87
1,Buccinum_1_11_137_455,11,Buccinum,-0.388672304,1.157339968,88
1,Buccinum_1_11_137_455,11,Buccinum,-0.412437255,1.110251733,89
1,Buccinum_1_11_137_455,11,Buccinum,-0.433692942,1.062124125,90
1,Buccinum_1_11_137_455,11,Buccinum,-0.468034381,1.019416813,91
1,Buccinum_1_11_137_455,11,Buccinum,-0.513191997,0.990990936,92
1,Buccinum_1_11_137_455,11,Buccinum,-0.541617882,0.945833319,93
1,Buccinum_1_11_137_455,11,Buccinum,-0.570043759,0.900675702,94
1,Buccinum_1_11_137_455,11,Buccinum,-0.588120466,0.851231319,95
1,Buccinum_1_11_137_455,11,Buccinum,-0.604852206,0.801229826,96
1,Buccinum_1_11_137_455,11,Buccinum,-0.621583938,0.751228333,97
1,Buccinum_1_11_137_455,11,Buccinum,-0.621583938,0.694296332,98
1,Buccinum_1_11_137_455,11,Buccinum,-0.629949804,0.640829589,99
1,Buccinum_1_11_137_455,11,Buccinum,-0.670051628,0.613218064,100
1,Buccinum_1_11_137_455,11,Buccinum,-0.703321388,0.5797546,101
1,Buccinum_1_11_137_455,11,Buccinum,-0.7387156,0.539588911,102
1,Buccinum_1_11_137_455,11,Buccinum,-0.762930387,0.496095924,103
1,Buccinum_1_11_137_455,11,Buccinum,-0.794552416,0.458654496,104
1,Buccinum_1_11_137_455,11,Buccinum,-0.822364755,0.41324274,105
1,Buccinum_1_11_137_455,11,Buccinum,-0.847462353,0.366706512,106
1,Buccinum_1_11_137_455,11,Buccinum,-0.864194085,0.316705019,107
1,Buccinum_1_11_137_455,11,Buccinum,-0.884593692,0.268222812,108
1,Buccinum_1_11_137_455,11,Buccinum,-0.897657557,0.216702041,109
1,Buccinum_1_11_137_455,11,Buccinum,-0.914389289,0.166700548,110
1,Buccinum_1_11_137_455,11,Buccinum,-0.914389289,0.109768547,111
1,Buccinum_1_11_137_455,11,Buccinum,-0.931121029,0.059767054,112
1,Buccinum_1_11_137_455,11,Buccinum,-0.937989679,0.005680142,113
1,Buccinum_1_11_137_455,11,Buccinum,-0.947852761,-0.047166432,114
1,Buccinum_1_11_137_455,11,Buccinum,-0.947852761,-0.104098433,115
1,Buccinum_1_11_137_455,11,Buccinum,-0.947852761,-0.161030433,116
1,Buccinum_1_11_137_455,11,Buccinum,-0.947852761,-0.217962434,117
1,Buccinum_1_11_137_455,11,Buccinum,-0.939486895,-0.271429185,118
1,Buccinum_1_11_137_455,11,Buccinum,-0.931121029,-0.324895928,119
1,Buccinum_1_11_137_455,11,Buccinum,-0.91845483,-0.37658142,120
1,Buccinum_1_11_137_455,11,Buccinum,-0.895944515,-0.424189341,121
1,Buccinum_1_11_137_455,11,Buccinum,-0.873434192,-0.471797262,122
1,Buccinum_1_11_137_455,11,Buccinum,-0.847462353,-0.517971377,123
1,Buccinum_1_11_137_455,11,Buccinum,-0.841413554,-0.558647239,124
1,Buccinum_1_11_137_455,11,Buccinum,-0.819169713,-0.584622819,125
1,Buccinum_1_11_137_455,11,Buccinum,-0.784828274,-0.627330124,126
1,Buccinum_1_11_137_455,11,Buccinum,-0.755437811,-0.66228698,127
1,Buccinum_1_11_137_455,11,Buccinum,-0.723075896,-0.705814234,128
1,Buccinum_1_11_137_455,11,Buccinum,-0.688510874,-0.748428935,129
1,Buccinum_1_11_137_455,11,Buccinum,-0.649492402,-0.779397728,130
1,Buccinum_1_11_137_455,11,Buccinum,-0.603427411,-0.805633022,131
1,Buccinum_1_11_137_455,11,Buccinum,-0.567543035,-0.844615364,132
1,Buccinum_1_11_137_455,11,Buccinum,-0.527286034,-0.884872364,133
1,Buccinum_1_11_137_455,11,Buccinum,-0.493959541,-0.918198858,134
1,Buccinum_1_11_137_455,11,Buccinum,-0.479364191,-0.969085268,135
1,Buccinum_1_11_137_455,11,Buccinum,-0.452404153,-1.00994945,136
1,Buccinum_1_11_137_455,11,Buccinum,-0.429168987,-1.05725713,137
1,Buccinum_1_11_137_455,11,Buccinum,-0.413299077,-1.107615596,138
1,Buccinum_1_11_137_455,11,Buccinum,-0.390788754,-1.155223517,139
1,Buccinum_1_11_137_455,11,Buccinum,-0.362362877,-1.200381134,140
1,Buccinum_1_11_137_455,11,Buccinum,-0.339852554,-1.247989055,141
1,Buccinum_1_11_137_455,11,Buccinum,-0.328158409,-1.293146672,142
1,Buccinum_1_11_137_455,11,Buccinum,-0.303197782,-1.318107299,143
1,Buccinum_1_11_137_455,11,Buccinum,-0.268856343,-1.360814604,144
1,Buccinum_1_11_137_455,11,Buccinum,-0.23552985,-1.394141097,145
1,Buccinum_1_11_137_455,11,Buccinum,-0.196287795,-1.425017286,146
1,Buccinum_1_11_137_455,11,Buccinum,-0.153088371,-1.45817067,147
1,Buccinum_1_11_137_455,11,Buccinum,-0.124925372,-1.490234914,148
1,Buccinum_1_11_137_455,11,Buccinum,-0.085113507,-1.5,149
1,Buccinum_1_11_137_455,11,Buccinum,-0.030953709,-1.493307312,150
2,Buccinum_1_11_137_456,11,Buccinum,-0.053325685,-1.5,1
2,Buccinum_1_11_137_456,11,Buccinum,-0.007276064,-1.471152217,2
2,Buccinum_1_11_137_456,11,Buccinum,0.044146231,-1.455275226,3
2,Buccinum_1_11_137_456,11,Buccinum,0.098582373,-1.446674315,4
2,Buccinum_1_11_137_456,11,Buccinum,0.149455898,-1.463876146,5
2,Buccinum_1_11_137_456,11,Buccinum,0.203892048,-1.472477065,6
2,Buccinum_1_11_137_456,11,Buccinum,0.258328191,-1.481077984,7
2,Buccinum_1_11_137_456,11,Buccinum,0.312764333,-1.472477065,8
2,Buccinum_1_11_137_456,11,Buccinum,0.367200476,-1.463876146,9
