indexNumber,indexName,speicesNumber,speciesName,X,Y
0,l2nr005.jpg,67,Acer,1291,32
0,l2nr005.jpg,67,Acer,1294,59
0,l2nr005.jpg,67,Acer,1293,81
0,l2nr005.jpg,67,Acer,1293,103
0,l2nr005.jpg,67,Acer,1298,125
0,l2nr005.jpg,67,Acer,1300,146
0,l2nr005.jpg,67,Acer,1305,168
0,l2nr005.jpg,67,Acer,1313,183
0,l2nr005.jpg,67,Acer,1327,204
0,l2nr005.jpg,67,Acer,1348,222
0,l2nr005.jpg,67,Acer,1363,226
0,l2nr005.jpg,67,Acer,1397,228
0,l2nr005.jpg,67,Acer,1411,233
0,l2nr005.jpg,67,Acer,1420,279
0,l2nr005.jpg,67,Acer,1437,301
0,l2nr005.jpg,67,Acer,1456,322
0,l2nr005.jpg,67,Acer,1480,338
0,l2nr005.jpg,67,Acer,1496,356
0,l2nr005.jpg,67,Acer,1506,358
0,l2nr005.jpg,67,Acer,1519,360
0,l2nr005.jpg,67,Acer,1583,373
0,l2nr005.jpg,67,Acer,1593,388
0,l2nr005.jpg,67,Acer,1585,405
0,l2nr005.jpg,67,Acer,1577,425
0,l2nr005.jpg,67,Acer,1569,463
0,l2nr005.jpg,67,Acer,1566,497
0,l2nr005.jpg,67,Acer,1563,527
0,l2nr005.jpg,67,Acer,1558,558
0,l2nr005.jpg,67,Acer,1556,584
0,l2nr005.jpg,67,Acer,1551,608
0,l2nr005.jpg,67,Acer,1544,636
0,l2nr005.jpg,67,Acer,1545,654
0,l2nr005.jpg,67,Acer,1553,668
0,l2nr005.jpg,67,Acer,1578,642
0,l2nr005.jpg,67,Acer,1604,608
0,l2nr005.jpg,67,Acer,1626,574
0,l2nr005.jpg,67,Acer,1639,544
0,l2nr005.jpg,67,Acer,1648,513
0,l2nr005.jpg,67,Acer,1658,533
0,l2nr005.jpg,67,Acer,1675,558
0,l2nr005.jpg,67,Acer,1741,565
0,l2nr005.jpg,67,Acer,1819,560
0,l2nr005.jpg,67,Acer,1835,555
0,l2nr005.jpg,67,Acer,1854,565
0,l2nr005.jpg,67,Acer,1911,566
0,l2nr005.jpg,67,Acer,1937,554
0,l2nr005.jpg,67,Acer,2004,486
0,l2nr005.jpg,67,Acer,2013,487
0,l2nr005.jpg,67,Acer,2011,506
0,l2nr005.jpg,67,Acer,2004,517
0,l2nr005.jpg,67,Acer,2002,528
0,l2nr005.jpg,67,Acer,1996,544
0,l2nr005.jpg,67,Acer,1990,564
0,l2nr005.jpg,67,Acer,1985,602
0,l2nr005.jpg,67,Acer,1983,631
0,l2nr005.jpg,67,Acer,1984,651
0,l2nr005.jpg,67,Acer,1989,662
0,l2nr005.jpg,67,Acer,1993,681
0,l2nr005.jpg,67,Acer,2005,705
0,l2nr005.jpg,67,Acer,2015,727
0,l2nr005.jpg,67,Acer,2060,736
0,l2nr005.jpg,67,Acer,2059,740
0,l2nr005.jpg,67,Acer,2059,746
0,l2nr005.jpg,67,Acer,2046,765
0,l2nr005.jpg,67,Acer,2038,779
0,l2nr005.jpg,67,Acer,2034,797
0,l2nr005.jpg,67,Acer,2025,817
0,l2nr005.jpg,67,Acer,2019,876
0,l2nr005.jpg,67,Acer,2027,903
0,l2nr005.jpg,67,Acer,2036,932
0,l2nr005.jpg,67,Acer,2061,959
0,l2nr005.jpg,67,Acer,2089,970
0,l2nr005.jpg,67,Acer,2157,976
0,l2nr005.jpg,67,Acer,2180,975
0,l2nr005.jpg,67,Acer,2185,975
0,l2nr005.jpg,67,Acer,2168,988
0,l2nr005.jpg,67,Acer,2151,996
0,l2nr005.jpg,67,Acer,2132,1005
0,l2nr005.jpg,67,Acer,2115,1016
0,l2nr005.jpg,67,Acer,2107,1015
